"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"02/01/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2012,1361,2973,1361,1015,1824,2872,2257,3654,1708,1302,2239,2382,1652,3434,1392,1173,1653
"02/02/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1724,1184,2511,1393,1098,1767,2192,1559,3082,1369,1024,1831,2179,1659,2862,1355,982,1871
"02/03/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2144,1340,3429,2647,1970,3557,2783,2213,3499,1723,1433,2072,2001,701,5709,2005,1410,2849
"02/04/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1530,1105,2119,1554,1029,2347,1946,1560,2428,1461,1225,1742,1530,1059,2209,1303,982,1729
"02/05/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1893,1258,2850,1518,1291,1784,2893,2036,4111,1956,1409,2716,1989,1458,2713,1437,884,2336
"02/06/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2472,1339,4564,1487,1276,1734,4400,3699,5234,1906,1408,2581,2900,1331,6320,1318,924,1879
"02/07/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2276,1595,3247,1861,1463,2366,2887,2412,3456,2186,1523,3138,2649,1938,3621,1703,1279,2269
"02/08/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1508,1166,1950,1485,1200,1839,1524,1333,1743,1511,1073,2128,1577,1218,2043,1456,1169,1813
"02/09/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1600,1225,2091,1290,1111,1499,1665,1258,2202,1420,1160,1737,1987,1561,2530,1461,1181,1809
"02/10/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",3133,1911,5135,5626,4158,7612,3832,3045,4822,4692,3631,6062,1880,1531,2309,2194,1435,3353
"02/11/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1824,1332,2499,2707,2204,3325,1491,1348,1650,1511,1247,1830,1803,1298,2505,1798,1335,2422
"02/12/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2039,1402,2968,1663,1294,2137,3027,2343,3911,1776,1300,2427,1930,1481,2514,1412,1216,1640
"02/13/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1913,1331,2751,1573,1119,2211,2702,2130,3429,1741,1369,2215,2044,1481,2821,1334,1097,1623
"02/14/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2146,1350,3412,1486,1236,1787,3057,2371,3941,1870,1454,2405,2529,2021,3164,1344,710,2542
"02/15/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1578,1239,2010,1458,1227,1734,1758,1323,2337,1705,1384,2102,1663,1270,2178,1338,1131,1582
"02/16/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1447,1138,1839,1299,1143,1475,1506,1307,1735,1437,1193,1730,1618,1255,2087,1305,948,1797
"02/17/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1934,1258,2973,1514,1187,1932,3278,2710,3966,1581,1056,2366,2162,1534,3047,1484,1178,1869
"02/18/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2049,1364,3077,1575,1279,1940,3427,2600,4519,1626,1368,1933,2547,1799,3606,1293,1127,1483
"02/19/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1939,1282,2934,1454,1234,1713,3454,2659,4487,1581,1250,2000,1654,1161,2357,1520,1193,1935
"02/20/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2294,1495,3522,1422,1206,1676,3567,2848,4467,2013,1591,2547,2588,1921,3486,1337,1159,1543
"02/21/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2396,1520,3778,1462,1352,1581,3864,3143,4749,2007,1594,2528,3436,2453,4812,1464,1115,1922
"02/22/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1539,1078,2195,1733,1405,2137,1568,1227,2003,1501,792,2846,1454,1205,1755,1499,1192,1884
"02/23/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1341,834,2157,1249,1083,1441,1552,1085,2221,1353,1088,1682,1287,725,2284,1304,624,2725
"02/24/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1504,1058,2137,1411,1143,1742,1677,1111,2531,1338,1125,1591,1435,1151,1787,1639,989,2716
"02/25/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1447,1068,1961,1255,1107,1424,1544,1236,1928,1406,964,2052,1609,1232,2102,1296,1034,1625
"02/26/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1646,1257,2154,1615,1279,2039,2003,1635,2454,1506,1235,1837,1740,1233,2456,1486,1172,1885
"02/27/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1716,1306,2256,1831,1368,2451,2043,1601,2607,1511,1229,1858,1679,1257,2241,1607,1273,2030
"02/28/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1943,1312,2875,1379,1204,1579,3659,2685,4985,1751,1388,2209,1970,1402,2769,1401,1148,1709
"02/29/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1459,1189,1789,1367,1191,1569,1477,1257,1735,1429,1128,1810,1610,1266,2046,1413,1183,1687
