"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"02/01/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2404,1483,3897,2058,1476,2871,3640,3017,4393,2282,1664,3129,,,,1463,1234,1734
"02/02/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2404,1483,3897,2058,1476,2871,3640,3017,4393,2282,1664,3129,,,,1463,1234,1734
"02/03/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2404,1483,3897,2058,1476,2871,3640,3017,4393,2282,1664,3129,,,,1463,1234,1734
"02/04/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2208,1317,3699,3270,2182,4899,,,,2010,1347,3000,1791,1407,2280,1895,1118,3214
"02/05/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1997,1410,2828,1832,1296,2590,2646,1977,3543,2200,1793,2698,,,,1586,1183,2125
"02/06/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2419,1396,4191,1908,1557,2338,3407,2671,4346,2341,1856,2954,1981,592,6626,1867,1075,3241
"02/08/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2290,1462,3586,1603,1009,2546,3183,2623,3862,2662,2093,3386,2002,1127,3558,1357,1138,1619
"02/09/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2290,1462,3586,1603,1009,2546,3183,2623,3862,2662,2093,3386,2002,1127,3558,1357,1138,1619
"02/10/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1980,1418,2764,1502,1267,1781,2914,2389,3554,2105,1664,2662,2487,1808,3422,1435,1202,1714
"02/11/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1980,1418,2764,1502,1267,1781,2914,2389,3554,2105,1664,2662,2487,1808,3422,1435,1202,1714
"02/12/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2025,1334,3074,1481,1279,1715,3217,2687,3850,2001,1376,2909,,,,1388,1166,1652
"02/13/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2025,1334,3074,1481,1279,1715,3217,2687,3850,2001,1376,2909,,,,1388,1166,1652
"02/14/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1653,1348,2027,1620,1205,2178,3137,2375,4144,2220,1709,2883,1653,1348,2027,1341,864,2080
"02/15/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1653,1348,2027,1620,1205,2178,3137,2375,4144,2220,1709,2883,1653,1348,2027,1341,864,2080
"02/16/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1948,1419,2674,1798,1423,2272,2565,2077,3168,2275,1688,3067,1777,1389,2273,1415,1188,1685
"02/17/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1560,1228,1982,1356,1120,1641,1639,1308,2055,1528,1195,1952,1712,1349,2172,1467,1191,1807
"02/18/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2072,1445,2972,1708,1292,2259,2991,2323,3852,1965,1582,2442,1930,1276,2920,1630,1244,2137
"02/19/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2367,1500,3733,1674,1233,2273,2940,2387,3622,2398,1802,3192,2282,1093,4766,1475,1043,2088
"02/20/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2270,1324,3895,1287,549,3015,3234,2704,3867,2339,1703,3211,2569,1583,4167,1461,1234,1731
"02/21/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2550,1619,4016,1845,1180,2884,3553,2927,4314,1948,1578,2406,3123,2105,4632,1496,1125,1989
"02/22/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2939,1960,4406,1742,1306,2324,3782,3087,4634,2169,1757,2678,3525,2837,4381,1644,1187,2277
"02/23/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1891,1182,3024,1488,1160,1907,1976,1536,2543,2139,1563,2927,2048,971,4319,1531,1162,2018
"02/24/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1547,961,2492,1324,1157,1516,1727,1373,2171,1343,1132,1595,1887,1354,2629,1354,494,3710
"02/25/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2310,1601,3335,1789,1384,2312,3159,2686,3716,2138,1561,2929,2743,1936,3884,1599,1312,1950
"02/26/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2488,1553,3986,1946,1607,2356,3425,2849,4118,2298,1669,3165,2400,1665,3458,1752,950,3230
"02/27/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2317,1504,3569,1495,1155,1936,3165,2583,3879,2331,1634,3324,2553,1898,3434,1497,1034,2169
"02/28/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",3266,1686,6327,1760,1035,2993,5048,4033,6318,2705,1418,5161,3792,2951,4873,1462,842,2539
