"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/23/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2128,1258,3601,1635,1302,2054,2998,2173,4135,2076,1449,2974,2525,1017,6269,1375,1149,1645
"01/24/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2372,1559,3609,1788,1460,2190,3183,2478,4089,1724,1423,2089,3315,2490,4415,1502,1098,2056
"01/25/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1444,982,2122,1399,1190,1644,1534,1297,1815,1441,1247,1664,1540,1257,1887,1294,598,2799
"01/26/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1502,852,2649,1354,1154,1588,1440,1233,1681,1410,872,2280,1975,1416,2755,1248,495,3144
"01/27/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1745,1237,2460,1865,1284,2709,2317,1781,3015,1505,1039,2182,1655,1295,2116,1659,1274,2162
"01/28/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1818,1248,2647,1507,1267,1793,2874,2021,4088,1633,1275,2092,1778,1132,2792,1324,1157,1516
"01/29/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1887,1169,3047,1711,1260,2323,2601,1793,3774,1743,945,3212,1898,1323,2722,1415,1182,1693
"01/30/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1960,1359,2827,1486,1269,1742,3009,2136,4239,1829,1401,2387,2388,1868,3054,1327,1133,1555
"01/31/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2208,1479,3296,1738,1202,2513,3427,2597,4522,1882,1464,2420,2545,1947,3327,1404,1221,1615
"01/01/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1539,1053,2249,1458,1162,1828,1483,1207,1821,1361,816,2268,1871,1506,2324,1657,1208,2272
"01/02/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1580,1247,2001,1590,1271,1988,1669,1314,2118,1500,1193,1886,1789,1420,2254,1459,1187,1792
"01/03/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1439,1182,1752,1434,1155,1779,1418,1205,1668,1390,1189,1625,1584,1249,2011,1382,1155,1652
"01/04/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1494,1066,2095,1457,1061,1998,1588,1198,2104,1494,1180,1892,1509,862,2642,1396,1187,1641
"01/05/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1547,1165,2054,1449,1227,1711,1577,1368,1816,1379,978,1943,1854,1527,2251,1458,1111,1914
"01/06/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1599,1119,2286,1710,1362,2147,1742,1054,2878,1481,1152,1905,1668,1274,2183,1531,1013,2314
