"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","1","Sé","3/1/2020 - 3/31/2020, Every day, Daily Average",889,497,1587
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","2","Parque Dom Pedro","3/1/2020 - 3/31/2020, Every day, Daily Average",809,459,1423
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","3","Praça João Mendes","3/1/2020 - 3/31/2020, Every day, Daily Average",1142,651,2001
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","4","Ladeira da Memória","3/1/2020 - 3/31/2020, Every day, Daily Average",924,531,1605
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","5","República","3/1/2020 - 3/31/2020, Every day, Daily Average",880,497,1555
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","6","Santa Ifigênia","3/1/2020 - 3/31/2020, Every day, Daily Average",715,405,1260
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","7","Luz","3/1/2020 - 3/31/2020, Every day, Daily Average",516,296,898
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","8","Bom Retiro","3/1/2020 - 3/31/2020, Every day, Daily Average",809,391,1671
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","9","Ponte Pequena","3/1/2020 - 3/31/2020, Every day, Daily Average",286,137,596
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","10","Canindé","3/1/2020 - 3/31/2020, Every day, Daily Average",326,130,816
