"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"03/01/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1417,999,2010,1356,1188,1547,1518,828,2780,1349,1150,1584,1521,965,2399,1380,1122,1699
"03/02/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1976,1352,2888,1902,1365,2650,3240,2577,4074,1655,1345,2036,1790,1210,2646,1591,1222,2072
"03/03/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1828,1246,2683,1791,1275,2517,2464,1976,3072,1642,1377,1958,1757,897,3441,1472,1121,1932
"03/04/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1737,1237,2438,1525,1273,1826,2402,1947,2962,1681,1205,2346,1628,1117,2374,1337,1114,1605
"03/05/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1990,1387,2855,1414,1254,1594,2800,2341,3349,1818,1387,2383,2007,1393,2894,1376,1148,1648
"03/06/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2046,1444,2900,1631,1278,2082,2674,2305,3101,1733,1316,2283,2631,2064,3353,1480,1143,1917
"03/07/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1563,1200,2035,1692,1223,2341,1577,1238,2009,1613,1202,2165,1580,1264,1976,1365,1150,1620
"03/08/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1474,1051,2065,1365,1090,1709,1678,1320,2132,1368,942,1987,1703,1116,2599,1270,1106,1457
"03/09/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1759,1286,2407,1643,1262,2138,2536,2002,3212,1571,1239,1992,1793,1336,2407,1449,1152,1823
"03/10/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1909,1292,2822,2143,1570,2924,2782,2320,3334,1601,1116,2296,1603,1163,2210,1390,1098,1759
"03/11/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2060,1370,3097,1597,1384,1843,3253,2522,4195,1844,1335,2547,1670,1279,2180,1460,1097,1941
"03/12/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1796,1334,2418,1533,1151,2040,2336,1883,2898,1762,1364,2276,1752,1344,2283,1465,1250,1716
"03/13/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1860,1343,2575,1517,1144,2011,2669,2192,3251,1678,1369,2056,2098,1651,2666,1374,1157,1632
