"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"03/01/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",3505,1987,6182,1959,1544,2487,5387,4270,6797,2811,1903,4153,4164,2849,6086,1496,1109,2018
"03/02/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1806,1294,2520,1606,1130,2282,2353,1688,3280,1855,1358,2533,1963,1532,2514,1559,1164,2090
"03/03/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1482,1138,1932,1436,1114,1852,1449,1240,1693,1402,1151,1708,1770,1172,2672,1492,1123,1983
"03/04/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1504,1112,2034,1260,732,2168,1672,1184,2362,1461,1196,1785,1524,1238,1875,1488,1124,1969
"03/05/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1643,1136,2377,1275,1067,1525,1845,1402,2428,1460,977,2182,1979,1382,2834,1469,1091,1977
"03/06/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1768,1169,2674,1582,1304,1919,2418,2004,2917,1769,1339,2335,1604,703,3659,1422,1165,1736
"03/07/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2223,1326,3727,1757,1395,2212,3320,2804,3930,2162,1474,3171,2187,928,5156,1511,1167,1956
"03/08/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2285,1442,3620,1553,1291,1869,3343,2519,4436,2088,1463,2982,2405,1315,4396,1718,1190,2479
"03/09/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1833,1384,2427,1605,1383,1862,2277,1694,3060,1784,1467,2170,1894,1417,2532,1507,1183,1919
"03/10/2019","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1654,1119,2444,1344,1091,1655,1518,1222,1885,1383,1108,1726,2438,1714,3469,1470,828,2608
